,,PRICE,PRICE,PRICE,PPZFA,PPZFA,PPZFA,Rate
,,count,sum,mean,mean,median,std,mean
DATE,DATE,,,,,,,
2018,1,13,60825409,4678877.62,167.85,93.0,224.4,1.25
2018,2,22,300481035,13658228.86,226.27,81.5,275.79,1.8
2018,3,18,614034954,34113053.0,249.5,134.0,232.87,2.0
2018,4,20,371046472,18552323.6,245.85,162.0,240.43,2.3
2019,1,44,1004944303,22839643.25,255.91,225.0,181.22,2.5
2019,2,60,739682321,12328038.68,277.8,210.5,194.71,2.5
2019,3,35,587924829,16797852.26,247.6,209.0,169.17,2.29
2019,4,40,1345922432,33648060.8,233.38,165.0,223.38,1.81
2020,1,61,683572685,11206109.59,227.33,182.0,161.66,1.51
2020,2,20,357704811,17885240.55,334.15,287.0,252.13,0.25
2020,3,43,499645000,11619651.16,172.09,120.0,125.2,0.25
2020,4,48,396864815,8268016.98,189.25,155.0,125.24,0.25
2021,1,54,361815620,6700289.26,188.07,163.0,112.1,0.25
2021,2,50,393511314,7870226.28,194.22,169.0,129.69,0.25
2021,3,39,328949104,8434592.41,214.9,203.0,135.32,0.25
2021,4,69,1116287250,16178076.09,213.39,167.0,144.42,0.25
2022,1,88,1116537915,12687930.85,216.49,203.5,122.65,0.25
2022,2,71,646310733,9102968.07,210.79,202.0,127.23,0.71
2022,3,36,440113325,12225370.14,238.06,225.5,111.61,2.23
2022,4,60,575712073,9595201.22,221.02,198.5,144.8,3.67
2023,1,20,189751439,9487571.95,276.45,205.5,235.22,4.41
2023,2,58,769931683,13274684.19,200.48,159.0,119.26,4.97
2023,3,62,435666883,7026885.21,220.0,182.5,148.95,5.18
2023,4,76,1326811426,17458045.08,276.83,234.0,212.1,5.25
2024,1,69,742440105,10760001.52,278.3,170.0,292.11,5.25
2024,2,87,692770900,7962883.91,210.91,162.0,176.98,5.25
2024,3,36,520408425,14455789.58,220.36,183.5,136.01,5.25
